Name,Team,playerid
Luis Campusano,SDP,22217
Rob Brantly,NYY,10655
Austin Romine,CHC,5491
Jaylin Davis,SFG,19552
Alex Jackson,ATL,17276
Owen Miller,CLE,24655
Jeff Hoffman,CIN,17432
Mitch Keller,PIT,17594
Yu Darvish,SDP,13074
Cameron Maybin,NYM,5223
Sandy Alcantara,MIA,18684
Stuart Fairchild,ARI,20321
Leody Taveras,TEX,18900
Tyler Anderson,PIT,12880
Jacob Wilson,OAK,13254
Zach Thompson,MIA,16094
Skye Bolt,- - -,17723
Bryse Wilson,ATL,19990
Johnny Cueto,SFG,6893
Vince Velasquez,PHI,11189
David Peterson,NYM,20302
Brett Anderson,MIL,8223
Robert Gsellman,NYM,13696
Dinelson Lamet,SDP,17186
Jon Gray,COL,14916
Patrick Corbin,WSN,9323
David Price,LAD,3184
Jake Hager,NYM,12198
Hernan Perez,WSN,5751
Jose Lobaton,CHC,4243
Brandon Woodruff,MIL,16162
Joe Musgrove,SDP,12970
Tyler Mahle,CIN,16358
Chase De Jong,PIT,15036
Kyle Hendricks,CHC,12049
Charlie Morton,ATL,4676
Albert Almora Jr.,NYM,14109
Vimael Machin,OAK,17684
Trevor Cahill,PIT,6249
Dillon Thomas,SEA,12719
Jake Woodford,STL,18674
Tylor Megill,NYM,21318
Anderson Tejeda,TEX,19909
Drew Butera,LAA,3411
Drew Smyly,ATL,11760
Austin Gomber,COL,16561
P.J. Higgins,CHC,18433
Carlos Martinez,STL,11682
Cody Poteet,MIA,18769
Jordan Holloway,MIA,20631
Alex Wood,SFG,13781
Nick Neidert,MIA,18699
Alec Mills,CHC,13834
Logan Webb,SFG,17995
Wil Crowe,PIT,19800
Ian Anderson,ATL,19951
Sonny Gray,CIN,12768
Caleb Smith,ARI,14875
Johan Camargo,ATL,14950
Pablo Lopez,MIA,17085
Chad Kuhl,PIT,14975
Paolo Espino,WSN,8246
Trevor Rogers,MIA,22286
Khalil Lee,NYM,19952
Taylor Widener,ARI,19266
Vidal Brujan,TBR,20536
Anthony DeSclafani,SFG,13050
Joey Lucchesi,NYM,19320
Adbert Alzolay,CHC,17859
Curtis Terry,TEX,18881
Max Moroff,STL,14556
Taijuan Walker,NYM,11836
Trevor Bauer,LAD,12703
Freddy Peralta,MIL,18679
Vladimir Gutierrez,CIN,19278
Scott Kingery,PHI,17975
Adam Wainwright,STL,2233
Zach Eflin,PHI,13774
Erick Fedde,WSN,17425
Antonio Senzatela,COL,15488
Chris Paddack,SDP,20099
Neftali Feliz,PHI,18
Matt Bush,TEX,1246
Adam Ottavino,BOS,1247
Oliver Perez,CLE,1514
Sean Doolittle,CIN,1581
Matt Moore,PHI,1890
Zack Greinke,HOU,1943
Corey Kluber,NYY,2429
Jhoulys Chacin,COL,2608
Luis Avilan,WSN,2882
Kenley Jansen,LAD,3096
Tony Watson,LAA,3132
Max Scherzer,WSN,3137
Will Harris,WSN,3192
Ervin Santana,KCR,3200
T.J. McFarland,STL,3237
Zack Britton,NYY,3240
Joe Smith,HOU,3281
Darren O'Day,NYY,3321
Jeff Mathis,ATL,3448
Danny Duffy,KCR,3542
Liam Hendriks,CHW,3548
Yusmeiro Petit,OAK,4020
Hector Santiago,SEA,4026
Pedro Strop,CHC,4070
Derek Holland,DET,4141
Rafael Dolis,TOR,4185
Mark Melancon,SDP,4264
Justin Wilson,NYY,4301
Tyler Chatwood,TOR,4338
Jordan Zimmermann,MIL,4505
Nate Jones,- - -,4696
Matt Shoemaker,MIN,4776
Scott Kazmir,SFG,4897
Jake Diekman,OAK,5003
Jeurys Familia,NYM,5114
Wade LeBlanc,- - -,5221
Blake Parker,CLE,5224
Michael Pineda,MIN,5372
Jesse Chavez,ATL,5448
Tyler Clippard,ARI,5640
Junior Guerra,LAA,5702
Dellin Betances,NYM,6216
David Phelps,TOR,6316
Chris Archer,TBR,6345
Jake Odorizzi,HOU,6397
Trevor May,NYM,6398
Jose Cisnero,DET,6399
Steve Cishek,LAA,6483
Alex Cobb,LAA,6562
Robert Stock,- - -,6576
Brad Brach,CIN,6627
Craig Kimbrel,CHC,6655
Alex Colome,MIN,6661
Andrew Miller,STL,6785
Julio Teheran,DET,6797
Chase Anderson,PHI,6895
Martin Perez,BOS,6902
Joakim Soria,ARI,6941
Luis Garcia,STL,6984
Ian Kennedy,TEX,6986
Ryan Pressly,HOU,7005
Daniel Bard,COL,7115
Daniel Hudson,WSN,7146
Greg Holland,KCR,7196
Sean Kazmar,ATL,7349
J.A. Happ,MIN,7410
Jay Jackson,SFG,7432
Wade Davis,KCR,7441
Anthony Swarzak,- - -,7466
Collin McHugh,TBR,7531
Jake McGee,SFG,7550
Jordan Lyles,TEX,7593
Tommy Milone,TOR,7608
Wily Peralta,DET,7738
Mike Fiers,OAK,7754
Richard Bleier,MIA,7803
Hunter Strickland,- - -,7836
Josh Lindblom,MIL,7882
Anthony Bass,MIA,7982
Will Smith,ATL,8048
Bryan Shaw,CLE,8110
Lucas Luetge,NYY,8337
Deolis Guerra,OAK,8410
Justin Miller,- - -,8580
Tanner Roark,TOR,8753
Cesar Valdez,BAL,9013
Brad Hand,WSN,9111
Kyle Lobstein,WSN,9178
Zac Rosscup,COL,9419
Dallas Keuchel,CHW,9434
Ryan Buchter,ARI,9456
David Hale,PHI,9756
Joe Kelly,LAD,9761
Rex Brothers,CHC,9794
Miles Mikolas,STL,9803
Sergio Romo,OAK,9817
Chaz Roe,TBR,9866
Brandon Kintzler,PHI,9939
Mike Minor,KCR,10021
Tyler Matzek,ATL,10058
Brooks Raley,HOU,10061
Ian Krol,DET,10066
Caleb Thielbar,MIN,10078
Kyle Gibson,TEX,10123
Brad Boxberger,MIL,10133
Ryan Weber,- - -,10160
Shelby Miller,CHC,10197
Aaron Northcraft,SDP,10218
Aroldis Chapman,NYY,10233
Ryan Tepera,CHC,10291
Erasmo Ramirez,DET,10314
Juan Minaya,MIN,10341
Aaron Loup,NYM,10343
Mychal Givens,COL,10430
Jimmy Nelson,LAD,10547
Scott Alexander,LAD,10591
Andrew Bellatti,MIA,10657
Shane Greene,ATL,10756
Mike Foltynewicz,TEX,10811
R.J. Alaniz,CIN,10819
Asher Wojciechowski,NYY,10836
Adam Kolarek,OAK,10843
Chasen Shreve,PIT,10855
Jared Hoying,TOR,10882
Ben Rowen,LAA,10983
Mickey Jannis,BAL,11071
Grant Dayton,ATL,11203
Casey Sadler,SEA,11209
Jose Quintana,LAA,11423
Drew Pomeranz,SDP,11426
Brandon Workman,- - -,11428
Jesse Biddle,ATL,11437
A.J. Cole,TOR,11467
Robbie Ray,TOR,11486
Joely Rodriguez,TEX,11487
Aaron Sanchez,SFG,11490
Josh Osich,CIN,11528
Jose Urena,DET,11589
Mike Kickham,LAD,11618
Heath Hembree,CIN,11632
Jameson Taillon,NYY,11674
Matt Harvey,BAL,11713
Luke Jackson,ATL,11752
Kyle Ryan,CHC,11753
Hansel Robles,MIN,11801
Hector Neris,PHI,11804
James Paxton,SEA,11828
Chris Martin,ATL,11847
Jason Adam,CHC,11861
Michael Feliz,- - -,11903
Matt Andriese,BOS,12022
Yimi Garcia,MIA,12095
Domingo Tapia,- - -,12178
Dan Winkler,CHC,12237
Ryan Sherriff,TBR,12249
Evan Marshall,CHW,12297
Chris Bassitt,OAK,12304
Jacob Barnes,- - -,12323
Spencer Patton,TEX,12361
Nick Tropeano,- - -,12385
Seth Lugo,NYM,12447
Blake Treinen,LAD,12572
Nick Ramirez,SDP,12575
DJ Johnson,CLE,12578
Adam Morgan,CHC,12580
Ryne Harper,WSN,12680
Rafael Montero,SEA,12760
Chris Devenski,ARI,12763
John Brebbia,SFG,12777
Burch Smith,OAK,12784
Noe Ramirez,- - -,12800
Matt Wisler,- - -,12804
Andrew Kittredge,TBR,12828
Shawn Armstrong,BAL,12857
Matt Barnes,BOS,12863
Alex Claudio,LAA,12890
Archie Bradley,PHI,12918
Andrew Chafin,CHC,12988
Colten Brewer,BOS,12997
Reymin Guduan,OAK,13058
Gerrit Cole,NYY,13125
Derek Law,MIN,13133
Eduardo Rodriguez,BOS,13164
Kyle Crick,PIT,13182
Jordan Weems,- - -,13190
Michael Fulmer,DET,13218
Louis Head,TBR,13259
Ross Stripling,TOR,13273
Jesse Hahn,KCR,13287
Danny Coulombe,MIN,13293
Luis Cessa,NYY,13345
Hoby Milner,MIL,13346
Cam Bedrosian,- - -,13360
Steven Matz,TOR,13361
Dylan Floro,MIA,13394
Sam Selman,SFG,13397
Felix Pena,LAA,13403
Pierce Johnson,SDP,13435
Taylor Rogers,MIN,13449
Lucas Sims,CIN,13470
Daniel Norris,DET,13475
Brandon Brennan,BOS,13527
Richard Rodriguez,PIT,13549
Steven Okert,MIA,13580
Robert Stephenson,COL,13594
Humberto Arteaga,WSN,13595
Shawn Morimando,MIA,13606
Carl Edwards Jr.,- - -,13607
Jakob Junis,KCR,13619
Clay Holmes,PIT,13649
Corey Oswalt,NYM,13677
John Gant,STL,13684
Sal Romano,- - -,13690
Tyler Duffey,MIN,13758
Chris Stratton,PIT,13761
Dominic Leone,SFG,13763
JT Chargois,SEA,13767
Austin Adams,SDP,13801
Paul Sewald,SEA,13892
Chris Flexen,SEA,13896
Brent Suter,MIL,13942
Michael Wacha,TBR,14078
Lance McCullers Jr.,HOU,14120
Chris Mazza,TBR,14151
Jose Berrios,MIN,14168
Kyle Zimmer,KCR,14169
Josh Hader,MIL,14212
Wandy Peralta,- - -,14295
Frankie Montas,OAK,14309
Joel Payamps,TOR,14332
Tyler Glasnow,TBR,14374
Amir Garrett,CIN,14375
Hyun-Jin Ryu,TOR,14444
J.B. Wendelken,OAK,14506
Jorge Lopez,BAL,14527
Carlos Estevez,COL,14542
Jose Ruiz,CHW,14552
James Hoyt,LAA,14605
Konner Wade,BAL,14655
Jandel Gustave,MIL,14665
Dillon Maples,CHC,14672
Duane Underwood Jr.,PIT,14677
Tzu-Wei Lin,MIN,14678
Andres Machado,WSN,14681
Keone Kela,SDP,14696
Anthony Banda,NYM,14706
Brady Lail,SEA,14707
Edwin Diaz,NYM,14710
Emilio Pagan,SDP,14771
Buck Farmer,DET,14814
Michael Lorenzen,CIN,14843
Joe Mantiply,ARI,14857
Zack Godley,MIL,14862
Sam Moll,OAK,14874
Taylor Williams,SDP,14899
Reyes Moronta,SFG,14966
Tyler Webb,STL,14974
Giovanny Gallegos,STL,14986
Scott Barlow,KCR,14993
Yacksel Rios,- - -,15007
Kyle Finnegan,WSN,15009
Corey Knebel,LAD,15010
Alex Reyes,STL,15015
Tim Mayza,TOR,15042
Lou Trivino,OAK,15043
Yency Almonte,COL,15068
Kyle McGowin,WSN,15071
Hunter Wood,TEX,15091
Luke Farrell,MIN,15101
Jimmie Sherfy,- - -,15118
Jake Newberry,KCR,15136
Ashton Goudeau,CIN,15139
Aaron Slegers,LAA,15231
Cody Reed,TBR,15232
Cole Sulser,BAL,15256
Keynan Middleton,SEA,15264
Adam Cimber,- - -,15288
Austin Pruitt,HOU,15290
Mike Mayers,LAA,15451
Nick Pivetta,BOS,15454
Marco Gonzales,SEA,15467
Hunter Harvey,BAL,15507
Kendall Graveman,SEA,15514
Joseph Odom,TBR,15535
Eric Yardley,MIL,15538
Tyler Rogers,SFG,15541
Chad Green,NYY,15552
Nick Wittgren,CLE,15594
Phillips Valdez,BOS,15605
Miguel Castro,NYM,15684
Brad Keller,KCR,15734
Joe Jimenez,DET,15761
Devin Williams,MIL,15816
Zack Littell,SFG,15823
Paul Fry,BAL,15832
Adam Plutko,BAL,15846
Kent Emanuel,HOU,15849
Wander Suero,WSN,15855
Stephen Tarpley,NYM,15859
Lewis Thorpe,MIN,15906
Ryne Stanek,HOU,15947
Keury Mella,ARI,15964
Stefan Crichton,ARI,16058
Taylor Gushue,CHC,16098
Daniel Ponce de Leon,STL,16110
Jordan Romano,TOR,16122
John Curtiss,MIA,16128
David Hess,MIA,16130
Carlos Rodon,CHW,16137
Jace Fry,CHW,16159
Spencer Turnbull,DET,16207
Jake Reed,LAD,16209
Aaron Bummer,CHW,16258
Sam Howard,PIT,16265
John Means,BAL,16269
Sam Clay,WSN,16279
Alex McRae,CHW,16317
Ryan Borucki,TOR,16350
Ryan Castellani,COL,16377
Brad Wieck,CHC,16390
Reynaldo Lopez,CHW,16400
Victor Gonzalez,LAD,16408
Blake Taylor,HOU,16418
James Norwood,SDP,16440
Brent Honeywell,TBR,16466
Roel Ramirez,STL,16470
Ryan Yarbrough,TBR,16502
Dan Altavilla,SDP,16507
Jordan Montgomery,NYY,16511
Erik Swanson,SEA,16587
Bryan Abreu,HOU,16609
J.P. Feyereisen,- - -,16610
Ryan Thompson,TBR,16647
Julian Merryweather,TOR,16703
Vinny Nittoli,SEA,16754
Tim Hill,SDP,16814
Sean Newcomb,ATL,16943
Tyler Beede,SFG,16981
Trevor Hildenberger,NYM,17002
Jefry Rodriguez,WSN,17018
Domingo Acevedo,OAK,17092
Austin Davis,PIT,17117
Raisel Iglesias,LAA,17130
Domingo German,NYY,17149
Yoan Lopez,ARI,17181
Austin Brice,BOS,17237
Sam Coonrod,PHI,17264
Ranger Suarez,PHI,17277
Michael Kopech,CHW,17282
Framber Valdez,HOU,17295
Justin Steele,CHC,17312
Edgar Santana,ATL,17355
Josh Taylor,BOS,17359
Brett Martin,TEX,17369
Eloy Jimenez,CHW,17484
Albert Abreu,NYY,17485
Spenser Watkins,BAL,17489
Genesis Cabrera,STL,17490
Diego Castillo,TBR,17496
Ryan Burr,CHW,17536
Tanner Scott,BAL,17586
Cristian Javier,HOU,17606
Tanner Rainey,WSN,17610
Justin Lawrence,COL,17639
Jeffrey Springs,TBR,17677
Ralph Garza,HOU,17682
Trevor Megill,CHC,17722
Nabil Crismatt,SDP,17732
Tyler Alexander,DET,17735
Drew Smith,NYM,17755
Angel Perdomo,MIL,17759
Jose Alvarado,PHI,17780
Jake Brentz,KCR,17783
Patrick Weigel,MIL,17792
Dillon Tate,BAL,17796
Daniel Zamora,SEA,17811
Nestor Cortes,NYY,17874
Dennis Santana,- - -,17878
Tayler Saucedo,TOR,17888
Cody Ponce,PIT,17920
Trent Thornton,TOR,17948
Pete Fairbanks,TBR,17998
Hoy Jun Park,NYY,18027
Phil Maton,CLE,18064
Cody Stashak,MIN,18088
Ryan Helsley,STL,18138
Jay Flaa,- - -,18140
Anthony Misiewicz,SEA,18152
Art Warren,CIN,18251
Jarlin Garcia,SFG,18282
Tyler Kinley,COL,18297
Carson Fulmer,CIN,18311
Josh Sborz,TEX,18323
Taylor Hearn,TEX,18325
James Kaprielian,OAK,18331
Alex Young,ARI,18333
Josh Staumont,KCR,18335
Brandon Waddell,- - -,18347
Jaime Barria,LAA,18356
Thomas Eshelman,BAL,18361
Enyel De Los Santos,PHI,18403
Jose Urquidy,HOU,18413
Trey Amburgey,NYY,18425
Junior Fernandez,STL,18496
Kenta Maeda,MIN,18498
Sam Hentges,CLE,18548
Logan Allen,CLE,18555
Travis Bergen,TOR,18581
Travis Lakins,BAL,18600
A.J. Minter,ATL,18655
Kolby Allard,TEX,18694
Miguel Del Pozo,DET,18792
Drew Steckenrider,SEA,18806
Miguel Diaz,SDP,18815
Beau Burrows,- - -,18873
Kyle Keller,PIT,18890
Zack Burdi,CHW,19159
Tommy Nance,CHC,19178
Robert Dugger,SEA,19191
Conner Menez,SFG,19199
Jose Quijada,LAA,19200
Mitch White,LAD,19225
Caleb Baragar,SFG,19231
Wes Benjamin,TEX,19243
Thomas Hatch,TOR,19264
T.J. Zeuch,TOR,19269
Jacob Webb,ATL,19274
Edgar Garcia,CIN,19276
Richard Lovelady,KCR,19337
A.J. Puk,OAK,19343
Dean Kremer,BAL,19350
Keegan Akin,BAL,19362
Shane Bieber,CLE,19427
Yohan Ramirez,SEA,19444
Shaun Anderson,- - -,19453
Kyle Funkhouser,DET,19456
Bryan Garcia,DET,19457
Jorge Alcala,MIN,19459
Ryan Hartman,HOU,19480
Devin Smeltzer,MIN,19487
Jason Foley,DET,19531
Ryan Hendrix,CIN,19535
Jimmy Lambert,CHW,19541
Stephen Nogosek,NYM,19545
J. D. Hammer,PHI,19548
Geoff Hartlieb,- - -,19558
Bernardo Flores Jr.,STL,19561
David Bednar,PIT,19569
JoJo Romero,PHI,19574
Sean Poppen,- - -,19583
Cionel Perez,CIN,19614
Jordan Hicks,STL,19618
Jack Kruger,LAA,19634
Matt Foster,CHW,19647
Zach Reks,LAD,19667
Gregory Soto,DET,19677
Jordan Sheffield,COL,19682
Kyle Cody,TEX,19686
Patrick Murphy,TOR,19712
Dustin May,LAD,19716
Kodi Whitley,STL,19731
Anthony Bender,MIA,19742
Jonathan Loaisiga,NYY,19753
Seth Elledge,STL,19766
Will Vest,SEA,19769
Justin Garza,CLE,19784
Anthony Castro,TOR,19789
Daniel Castano,MIA,19805
Riley Smith,ARI,19826
Alex Wells,BAL,19845
Darwinzon Hernandez,BOS,19848
Michael King,NYY,19853
Charlie Barnes,MIN,19865
Brandon Bielak,HOU,19866
Griffin Canning,LAA,19867
Tucker Davidson,ATL,19871
Kevin Ginkel,ARI,19876
Tanner Houck,BOS,19879
Alex Lange,DET,19883
Jose Suarez,LAA,19911
Trevor Stephan,CLE,19932
Ljay Newsome,SEA,19942
Jesus Luzardo,OAK,19959
Zach Plesac,CLE,19979
Tyler Wells,BAL,20000
Wyatt Mills,SEA,20010
Darren McCaughan,SEA,20038
Adrian Morejon,SDP,20039
Ronald Bolanos,KCR,20041
Bailey Falter,PHI,20070
Miguel Sanchez,MIL,20074
Mauricio Llovera,PHI,20080
James Karinchak,CLE,20151
Nick Nelson,NYY,20153
Nate Pearson,TOR,20160
Ty Tice,- - -,20177
Zach Pop,MIA,20185
Ben Bowden,COL,20198
Eli Morgan,CLE,20203
Jeremy Beasley,TOR,20205
Yennsy Diaz,NYM,20218
Tyler Ivey,HOU,20237
Zac Lowther,BAL,20243
Griffin Jax,MIN,20253
Deivi Garcia,NYY,20276
Cory Abbott,CHC,20277
Alec Bettinger,MIL,20312
Andre Scrubb,HOU,20329
Brusdar Graterol,LAD,20367
Ramon Rosso,PHI,20368
Matt Manning,DET,20369
Bruce Zimmermann,BAL,20370
Tyler Zuber,KCR,20379
Antonio Santos,COL,20383
Isaac Mattson,BAL,20385
Anthony Kay,TOR,20387
Nick Margevicius,SEA,20395
Luis Madero,MIA,20399
Josh Fleming,TBR,20418
Rony Garcia,DET,20430
Enoli Paredes,HOU,20447
Peter Solomon,HOU,20476
J.B. Bukauskas,ARI,20491
Casey Mize,DET,20492
Scott Hurst,STL,20501
Kyle Nelson,CLE,20515
Nick Sandlin,CLE,20517
Edwin Uceta,LAD,20539
JC Mejia,CLE,20617
Yusei Kikuchi,SEA,20633
Cristopher Sanchez,PHI,20778
Eduard Bazardo,BOS,20997
Emmanuel Clase,CLE,21032
Thomas Szapucki,NYM,21065
Demarcus Evans,TEX,21087
Miguel Yajure,PIT,21111
Humberto Castellanos,ARI,21183
Brooks Kriske,NYY,21189
Darien Nunez,LAD,21197
Connor Brogdon,PHI,21205
Bailey Ober,MIN,21224
Lucas Gilbreath,COL,21290
Kris Bubic,KCR,21455
Shane McClanahan,TBR,21483
Daniel Lynch,KCR,21537
Reiss Knehr,SDP,21541
Jackson Kowar,KCR,21549
Jake Cousins,MIL,21620
Luis Oviedo,PIT,21728
Mason Thompson,SDP,21850
Gregory Santos,SFG,21894
Camilo Doval,SFG,21992
Angel Rondon,STL,22036
John King,TEX,22051
Aaron Fletcher,SEA,22052
Max Kranick,PIT,22175
Mac Sceroler,BAL,22218
Paul Campbell,MIA,22248
Logan Gilbert,SEA,22250
Tarik Skubal,DET,22267
Joe Barlow,TEX,22296
Chris Rodriguez,LAA,22310
Nivaldo Rodriguez,HOU,22449
Carlos Hernandez,KCR,22713
Luis Patino,TBR,22815
Codi Heuer,CHW,23293
Aaron Ashby,MIL,23550
Brett De Geus,- - -,23592
Luis Garcia,HOU,23735
Randy Dobnak,MIN,23798
Nick Allgeyer,TOR,24486
Josiah Gray,LAD,24580
Jonathan Stiever,CHW,24584
Cody Wilson,WSN,24671
Andrew Wantz,LAA,24933
Alex Vesia,LAD,25007
Nick Mears,PIT,25376
Brady Singer,KCR,25377
Sam Long,SFG,25379
Alek Manoah,TOR,26410
Garrett Crochet,CHW,27463
Kohei Arihara,TEX,27505
Hyeon-jong Yang,TEX,27513
Hirokazu Sawamura,BOS,27515
